,vote,before_90s,90s,2000s,movie,other,tv movie,video movie,Action,Documentary,Comedy,Drama,Thriller,Romance,Other_genre,United States,United Kingdom,France,Other_country,English,Other_language,rating_category
116,-1.5656690908616682,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,other
117,0.8703333849093484,0.0,1.0,0.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,other
118,-1.5656690908616682,0.0,1.0,0.0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,other
119,0.5223330312277746,0.0,1.0,0.0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,other
120,-0.8696683834985205,0.0,0.0,1.0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,bottom_25pct
121,-1.5656690908616682,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
122,-1.2176687371800943,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,other
123,-1.2176687371800943,0.0,1.0,0.0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,bottom_25pct
124,-1.2176687371800943,0.0,0.0,1.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,other
125,-1.2176687371800943,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,other
126,-0.5216680298169467,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,other
127,-0.8696683834985205,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
128,1.566334092272496,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,other
129,-1.5656690908616682,0.0,1.0,0.0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,other
130,-1.5656690908616682,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,other
131,0.5223330312277746,1.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,bottom_25pct
132,-1.2176687371800943,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,other
133,-0.5216680298169467,0.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,other
134,0.17433267754620083,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,bottom_25pct
135,-0.8696683834985205,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,bottom_25pct
136,0.17433267754620083,0.0,1.0,0.0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,bottom_25pct
138,-1.2176687371800943,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,other
141,0.17433267754620083,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,other
142,1.218333738590922,0.0,0.0,1.0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,bottom_25pct
144,0.17433267754620083,0.0,0.0,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,other
145,-1.5656690908616682,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,other
147,-1.2176687371800943,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,other
148,-0.5216680298169467,1.0,0.0,0.0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,bottom_25pct
149,-0.5216680298169467,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,bottom_25pct
150,-1.2176687371800943,0.0,1.0,0.0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,top_10pct
152,0.5223330312277746,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,other
153,-0.8696683834985205,0.0,1.0,0.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,other
154,1.218333738590922,1.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,other
155,-0.17366767613537296,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,other
